,Subzone,School,College,Medical,Recreation,Transport,Shop,Food,lscore,Density
223,PAYA LEBAR WEST,0.3125,0.3170731707317073,0.2037037037037037,0.30578512396694213,0.35947712418300654,0.30612244897959184,0.3911290322580645,40.0178265788496,0.0
224,WOODLANDS SOUTH,0.3541666666666667,0.21951219512195122,0.018518518518518517,0.15702479338842976,0.12418300653594772,0.10204081632653061,0.05241935483870968,18.732632021918878,25841.275529175684
225,PASIR RIS WAFER FAB PARK,0.0,0.0,0.0,0.0743801652892562,0.013071895424836602,0.0663265306122449,0.008064516129032258,2.9495569367383725,1.899454664952571
226,MOUNT EMILY,0.7291666666666666,0.7195121951219512,0.46296296296296297,0.8842975206611571,0.8562091503267973,0.7346938775510204,0.8588709677419355,95.60203345360338,8346.202809544911
227,SINGAPORE GENERAL HOSPITAL,0.3541666666666667,0.32926829268292684,0.8888888888888888,0.4214876033057851,0.5882352941176471,0.37244897959183676,0.6048387096774194,64.86812900338099,18.63564416268198
228,HOLLAND ROAD,0.041666666666666664,0.06097560975609756,0.037037037037037035,0.08264462809917356,0.058823529411764705,0.04081632653061224,0.024193548387096774,6.308645556930948,3173.547255137726
229,CLEMENTI NORTH,0.3541666666666667,0.18292682926829268,0.5,0.34710743801652894,0.26143790849673204,0.47959183673469385,0.31048387096774194,44.390390547169865,28876.112486185928
230,MARITIME SQUARE,0.0625,0.10975609756097561,0.09259259259259259,0.34710743801652894,0.47058823529411764,0.6581632653061225,0.5282258064516129,41.350839452350584,1330.8905933475914
231,CHONG BOON,0.3958333333333333,0.24390243902439024,0.3611111111111111,0.21487603305785125,0.27450980392156865,0.37244897959183676,0.2661290322580645,38.797132365891066,24404.09588334293
232,SEMBAWANG EAST,0.2708333333333333,0.23170731707317074,0.12037037037037036,0.2231404958677686,0.23529411764705882,0.3010204081632653,0.1975806451612903,28.794199428112393,22719.342202322998
233,GUL BASIN,0.0,0.0,0.018518518518518517,0.03305785123966942,0.026143790849673203,0.0,0.024193548387096774,1.8573561274316728,5.613578755475555
234,SUDONG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,ALEXANDRA HILL,0.10416666666666667,0.18292682926829268,0.25925925925925924,0.24793388429752067,0.1503267973856209,0.2193877551020408,0.2903225806451613,26.504747957778836,13004.71589441699
